SEQN,Gender,Age,BodyWeight
94878,F,37,95.6
94879,F,48,99.1
94880,F,31,NA
94881,M,14,46.2
94882,F,55,60.6
94883,M,59,85
94884,F,7,24.2
94885,M,64,121.9
94886,M,19,75
94887,M,80,85.2
94888,M,12,41
94889,F,41,82.2
94890,M,57,74.1
94891,F,40,71.8
94892,M,61,65.2
94893,F,48,88.3
94894,M,50,126.5
94895,F,23,48.5
94896,F,50,93.5
94897,F,4,22.1
94898,F,74,96.2
94899,F,32,81.5
94900,M,12,52.4
94901,F,13,52.1
94902,F,67,50.3
94903,M,49,131.9
94904,M,6,24.9
94905,F,19,51.3
94906,M,46,74.8
94907,F,80,74.5
94908,F,56,112.4
94909,M,59,105.4
94910,M,18,68.3
94911,M,11,39.4
94912,M,10,38.7
94913,F,0,6.4
94914,F,17,66.9
94915,F,11,39.2
94916,F,26,86
94917,M,11,36.7
94918,M,71,109.2
94919,M,5,21
94920,F,58,87.8
94921,F,61,63.7
94922,M,66,66.8
94923,F,15,135.5
94924,F,29,79.3
94925,F,8,33.3
94926,M,37,64.2
94927,F,28,101.9
94928,M,9,43.8
94929,M,78,67.7
94930,F,50,117
94931,F,63,84.9
94932,M,50,NA
94933,F,54,103.2
94934,F,12,40.1
94935,F,41,77.2
94936,F,25,87
94937,M,59,65
94938,M,61,75.4
94939,M,31,71.6
94940,F,80,75.2
94941,M,28,107.5
94942,M,0,7.7
94943,F,5,19.1
94944,F,17,97.1
94945,M,29,127.3
94946,M,23,127
94947,M,8,20.5
94948,M,0,8.9
94949,M,0,5.5
94950,F,80,43.5
94951,F,9,42
94952,F,63,92.4
94953,F,59,125.5
94954,M,34,76.7
94955,M,80,NA
94956,F,11,38.6
94957,M,43,101.3
94958,F,58,50.9
94959,M,48,94.4
94960,M,26,73.9
94961,M,14,96
94962,F,57,49.2
94963,M,72,NA
94964,M,48,76.6
94965,F,14,77.1
94966,M,44,93.8
94967,F,40,93
94968,M,24,82.4
94969,M,80,98.6
94970,M,55,82.1
94971,F,10,37.9
94972,F,39,90.6
94973,M,16,NA
94974,M,4,18.3
94975,M,56,62.8
94976,M,12,49.7
94977,F,75,76.1
94978,F,5,15.8
94979,M,66,104.8
94980,F,60,64.6
94981,M,0,5.5
94982,F,32,58.9
94983,F,18,48.3
94984,M,62,NA
94985,F,7,NA
94986,M,62,88.8
94987,F,63,130.9
94988,F,71,NA
94989,M,35,77.7
94990,M,56,95.9
94991,M,26,96.5
94992,M,2,12.3
