source.type,pucid,product,form,prevalence,freq,indoor,dietary,migration,dirderm,diringest,dirinhaer,dirinhvap,downthedrain,indir.fug,indir.y0
product,PE.0300.030,insect repellent - skin,foam spray,0.25,4,0,0,0,1,0,1,1,0,0,0
product,CP.0100.010,air freshener,in vehicle,0.166666667,6,1,0,0,1,0,1,1,0,1,0
product,CP.0400.030,automatic dishwashing detergent,tablet,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,CP.0400.030,automatic dishwashing detergent,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,CP.1200.080,laundry stain remover,powder,0.25,4,1,0,0,1,0,0,1,1,1,0
product,PC.2800.020,bath salts,foam spray,0.5,2,1,0,0,1,0,0,1,1,1,0
product,PC.2800.020,bath salts,liquid,0.5,2,1,0,0,1,0,0,1,1,1,0
product,PC.2300.090,lip color,foam spray,0.5,2,1,0,0,1,1,0,1,1,1,0
product,PC.2300.100,lip gloss,foam spray,0.5,2,1,0,0,1,1,0,1,1,1,0
product,AC.0500.040,arts and crafts paint,foam spray,0.333333333,3,1,0,0,1,0,1,1,1,1,0
product,LY.0400.010,lawn fertilizer,foam spray,0.2,5,0,0,0,1,0,1,1,0,0,0
product,HM.1300.010,lubricant,foam spray,0.2,5,1,0,0,1,0,1,1,1,1,0
product,VE.0500.020,auto fluids and additives,foam spray,0.5,2,0,0,0,1,0,0,1,0,0,0
product,PC.1200.030,face mask,foam spray,0.25,4,1,0,0,1,0,0,1,1,1,0
product,PC.1500.010,foot care,aerosol,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,PC.1500.010,foot care,foam spray,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,PC.0800.070,bath paints/crayons,liquid,0.5,2,1,0,0,1,0,0,1,1,1,0
product,CP.0300.030,floor cleaner,foam spray,0.25,4,1,0,0,1,0,0,1,1,1,0
product,HM.2100.010,grout sealer,foam spray,0.2,5,0,0,0,1,0,1,1,0,0,0
product,SE.0600.010,gun cleaner,foam spray,0.333333333,3,0,0,0,1,0,1,1,0,0,0
product,PC.2700.070,shaving cream,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0
product,CP.0400.030,automatic dishwashing detergent,foam spray,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,PE.0300.010,insect repellent,candle,0.166666667,6,0,0,0,1,0,1,1,0,0,0
product,PC.2800.030,bubble bath,foam spray,0.25,4,1,0,0,1,0,0,1,1,1,0
product,PE.0300.010,insect repellent,solid,0.166666667,6,0,0,0,1,0,1,1,0,0,0
product,PC.2800.010,bath oil,foam spray,0.5,2,1,0,0,1,0,0,1,1,1,0
product,PC.0200.010,bite relief,child,0.25,4,1,0,0,1,0,0,1,1,1,0
product,CP.1200.080,laundry stain remover,foam spray,0.25,4,1,0,0,1,0,0,1,1,1,0
product,HM.0500.010,concrete,foam spray,0.25,4,0,0,0,1,0,0,1,0,0,0
product,PC.2300.070,foundation/concealer,powder,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,HM.1400.050,primer,exterior,0.333333333,3,1,0,0,1,0,1,1,1,1,0
product,AC.0500.010,arts and crafts adhesive,foam spray,0.166666667,6,1,0,0,1,0,0,1,1,1,0
product,PC.0500.020,body scrub,foam spray,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,PC.2300.100,lip gloss,aerosol,0.5,2,1,0,0,1,1,0,1,1,1,0
product,PT.0100.070,pesticide - pet,foam spray,0.2,5,1,0,0,1,0,1,1,1,1,0
