source.type,pucid,product,form,prevalence,freq,indoor,dietary,migration,dirderm,diringest,dirinhaer,dirinhvap,downthedrain,indir.fug,indir.y0,row.num
product,PC.2300.020,cosmetic tool cleaner,gel,0.25,4,1,0,0,1,0,0,1,1,1,0,483
product,PC.2300.020,cosmetic tool cleaner,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0,484
product,PC.2300.020,cosmetic tool cleaner,paste,0.25,4,1,0,0,1,0,0,1,1,1,0,485
product,PC.2300.020,cosmetic tool cleaner,pump spray,0.25,4,1,0,0,1,0,1,1,1,1,0,486
product,PC.2300.030,eye liner,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0,487
product,PC.2300.030,eye liner,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0,488
product,PC.2300.030,eye liner,paste,0.333333333,3,1,0,0,1,0,0,1,1,1,0,489
product,PC.2300.040,eye makeup,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0,490
product,PC.2300.040,eye makeup,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0,491
product,PC.2300.040,eye makeup,paste,0.333333333,3,1,0,0,1,0,0,1,1,1,0,492
product,PC.2300.050,eye shadow,gel,0.25,4,1,0,0,1,0,0,1,1,1,0,493
product,PC.2300.050,eye shadow,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0,494
product,PC.2300.050,eye shadow,paste,0.25,4,1,0,0,1,0,0,1,1,1,0,495
product,PC.2300.050,eye shadow,powder,0.25,4,1,0,0,1,0,0,1,1,1,0,496
product,PC.2300.060,face powder,powder,1,1,1,0,0,1,0,0,1,1,1,0,497
product,PC.2300.070,foundation/concealer,gel,0.25,4,1,0,0,1,0,0,1,1,1,0,498
product,PC.2300.070,foundation/concealer,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0,499
product,PC.2300.070,foundation/concealer,paste,0.25,4,1,0,0,1,0,0,1,1,1,0,500
product,PC.2300.070,foundation/concealer,powder,0.25,4,1,0,0,1,0,0,1,1,1,0,715
product,PC.2300.080,lip balm,gel,0.5,2,1,0,0,1,1,0,1,1,1,0,501
product,PC.2300.080,lip balm,paste,0.5,2,1,0,0,1,1,0,1,1,1,0,502
product,PC.2300.090,lip color,gel,0.333333333,3,1,0,0,1,1,0,1,1,1,0,503
product,PC.2300.090,lip color,paste,0.333333333,3,1,0,0,1,1,0,1,1,1,0,504
product,PC.2300.090,lip color,liquid,0.333333333,3,1,0,0,1,1,0,1,1,1,0,716
product,PC.2300.100,lip gloss,gel,0.5,2,1,0,0,1,1,0,1,1,1,0,505
product,PC.2300.100,lip gloss,liquid,0.5,2,1,0,0,1,1,0,1,1,1,0,506
product,PC.2300.110,lip liner,paste,1,1,1,0,0,1,1,0,1,1,1,0,507
product,PC.2300.120,makeup primer,gel,0.2,5,1,0,0,1,0,0,1,1,1,0,508
